"ref_area","ref_area.label","source","source.label","indicator","indicator.label","sex","sex.label","classif1","classif1.label","classif2","classif2.label","time","obs_value","obs_status","obs_status.label","note_classif","note_classif.label","note_indicator","note_indicator.label","note_source","note_source.label"
"AGO","Angola","BA:13951","EFT - Encuesta de Empleo","MST_TEAP_SEX_AGE_CBR_NB","Fuerza de trabajo según sexo, edad y lugar de nacimiento (miles)","SEX_M","Hombres","AGE_YTHADULT_Y15-24","Edad (Jóvenes, adultos): 15-24","CBR_BIR_FOREIGN","Lugar de nacimiento: Nacido en el extranjero","2022",6.211,,,,,,,"R1:3513","Repositorio: OIT-STATISTICS - Procesamiento de microdatos"
"AGO","Angola","BA:13951","EFT - Encuesta de Empleo","MST_TEAP_SEX_AGE_CBR_NB","Fuerza de trabajo según sexo, edad y lugar de nacimiento (miles)","SEX_F","Mujeres","AGE_YTHADULT_Y15-24","Edad (Jóvenes, adultos): 15-24","CBR_BIR_FOREIGN","Lugar de nacimiento: Nacido en el extranjero","2022",4.8,,,,,,,"R1:3513","Repositorio: OIT-STATISTICS - Procesamiento de microdatos"
"AGO","Angola","BA:13951","EFT - Encuesta de Empleo","MST_TEAP_SEX_AGE_CBR_NB","Fuerza de trabajo según sexo, edad y lugar de nacimiento (miles)","SEX_M","Hombres","AGE_AGGREGATE_Y15-24","Edad (Tramos agregados): 15-24","CBR_BIR_FOREIGN","Lugar de nacimiento: Nacido en el extranjero","2022",6.211,,,,,,,"R1:3513","Repositorio: OIT-STATISTICS - Procesamiento de microdatos"
"AGO","Angola","BA:13951","EFT - Encuesta de Empleo","MST_TEAP_SEX_AGE_CBR_NB","Fuerza de trabajo según sexo, edad y lugar de nacimiento (miles)","SEX_F","Mujeres","AGE_AGGREGATE_Y15-24","Edad (Tramos agregados): 15-24","CBR_BIR_FOREIGN","Lugar de nacimiento: Nacido en el extranjero","2022",4.8,,,,,,,"R1:3513","Repositorio: OIT-STATISTICS - Procesamiento de microdatos"
"AGO","Angola","BA:13951","EFT - Encuesta de Empleo","MST_TEAP_SEX_AGE_CBR_NB","Fuerza de trabajo según sexo, edad y lugar de nacimiento (miles)","SEX_M","Hombres","AGE_YTHADULT_Y15-24","Edad (Jóvenes, adultos): 15-24","CBR_BIR_FOREIGN","Lugar de nacimiento: Nacido en el extranjero","2021",13.793,,,,,,,"R1:3513","Repositorio: OIT-STATISTICS - Procesamiento de microdatos"
"AGO","Angola","BA:13951","EFT - Encuesta de Empleo","MST_TEAP_SEX_AGE_CBR_NB","Fuerza de trabajo según sexo, edad y lugar de nacimiento (miles)","SEX_F","Mujeres","AGE_YTHADULT_Y15-24","Edad (Jóvenes, adultos): 15-24","CBR_BIR_FOREIGN","Lugar de nacimiento: Nacido en el extranjero","2021",5.343,,,,,,,"R1:3513","Repositorio: OIT-STATISTICS - Procesamiento de microdatos"
"AGO","Angola","BA:13951","EFT - Encuesta de Empleo","MST_TEAP_SEX_AGE_CBR_NB","Fuerza de trabajo según sexo, edad y lugar de nacimiento (miles)","SEX_M","Hombres","AGE_AGGREGATE_Y15-24","Edad (Tramos agregados): 15-24","CBR_BIR_FOREIGN","Lugar de nacimiento: Nacido en el extranjero","2021",13.793,,,,,,,"R1:3513","Repositorio: OIT-STATISTICS - Procesamiento de microdatos"
"AGO","Angola","BA:13951","EFT - Encuesta de Empleo","MST_TEAP_SEX_AGE_CBR_NB","Fuerza de trabajo según sexo, edad y lugar de nacimiento (miles)","SEX_F","Mujeres","AGE_AGGREGATE_Y15-24","Edad (Tramos agregados): 15-24","CBR_BIR_FOREIGN","Lugar de nacimiento: Nacido en el extranjero","2021",5.343,,,,,,,"R1:3513","Repositorio: OIT-STATISTICS - Procesamiento de microdatos"
"AGO","Angola","BA:13951","EFT - Encuesta de Empleo","MST_TEAP_SEX_AGE_CBR_NB","Fuerza de trabajo según sexo, edad y lugar de nacimiento (miles)","SEX_M","Hombres","AGE_YTHADULT_Y15-24","Edad (Jóvenes, adultos): 15-24","CBR_BIR_FOREIGN","Lugar de nacimiento: Nacido en el extranjero","2019",8.107,"B","Ruptura de serie",,,"I11:264","Ruptura en la serie: Metodología revisada","R1:3513","Repositorio: OIT-STATISTICS - Procesamiento de microdatos"
"AGO","Angola","BA:13951","EFT - Encuesta de Empleo","MST_TEAP_SEX_AGE_CBR_NB","Fuerza de trabajo según sexo, edad y lugar de nacimiento (miles)","SEX_F","Mujeres","AGE_YTHADULT_Y15-24","Edad (Jóvenes, adultos): 15-24","CBR_BIR_FOREIGN","Lugar de nacimiento: Nacido en el extranjero","2019",12.282,"B","Ruptura de serie",,,"I11:264","Ruptura en la serie: Metodología revisada","R1:3513","Repositorio: OIT-STATISTICS - Procesamiento de microdatos"
